artikel_id,outlet_id,url,judul,tanggal_terbit,teks,hash_shingle,kecamatan,sumber_koleksi,ringkasan,kategori,topik,peristiwa_id,klaster_id,source_url,archive_url,retrieved_at,first_seen,last_checked,fiktif,jaccard_klaster
ART-F001,harian-losari.example,https://harian-losari.example/2016/02/15/wali-kota-resmikan-lorong-garden-ke-100-di-rappocini,Wali Kota resmikan lorong garden ke-100 di Rappocini,2016-02-15,"Wali Kota Makassar Danny Pomanto meresmikan lorong garden ke-100 di Kecamatan Rappocini, Senin. Program lorong garden yang digagas Wali Kota itu menyulap lorong sempit menjadi ruang hijau produktif. Danny berpesan agar warga menjaga tanaman yang sudah ditanam. Peresmian dihadiri camat, lurah, dan tokoh masyarakat setempat.",63563b94b270ec97,Rappocini,fixture,"Wali Kota Makassar Danny Pomanto meresmikan lorong garden ke-100 di Kecamatan Rappocini, Senin. Program lorong garden yang digagas Wali Kota itu menyulap lorong sempit menjadi ruang hijau produktif.",infrastruktur,"['lorong', 'garden', 'rappocini', 'danny']",,MKS-KLS-F01,https://harian-losari.example/2016/02/15/wali-kota-resmikan-lorong-garden-ke-100-di-rappocini,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True,1.0
ART-F002,suara-tamalanrea.example,https://suara-tamalanrea.example/2016/02/16/walikota-resmikan-lorong-garden-ke-100-di-rappocini,Walikota resmikan lorong garden ke-100 di Rappocini,2016-02-16,"Walikota Makassar Danny Pomanto meresmikan lorong garden ke-100 di Kecamatan Rappocini, Senin (siang). Program lorong garden yang digagas Wali Kota itu menyulap lorong sempit menjadi ruang hijau produktif. Danny berpesan agar warga menjaga tanaman yang sudah ditanam. Peresmian dihadiri camat, lurah, dan tokoh masyarakat setempat.",8c1b0e89bce78260,Rappocini,fixture,"Walikota Makassar Danny Pomanto meresmikan lorong garden ke-100 di Kecamatan Rappocini, Senin (siang). Program lorong garden yang digagas Wali Kota itu menyulap lorong sempit menjadi ruang hijau produktif.",infrastruktur,"['lorong', 'garden', 'rappocini', 'danny']",,MKS-KLS-F01,https://suara-tamalanrea.example/2016/02/16/walikota-resmikan-lorong-garden-ke-100-di-rappocini,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True,0.75
ART-F003,sulsel-kini.example,https://sulsel-kini.example/2016/02/15/walikota-resmikan-lorong-garden-ke-100-di-rappocini,Walikota resmikan lorong garden ke-100 di Rappocini,2016-02-15,"MAKASSAR — Wali Kota Makassar Danny Pomanto meresmikan lorong garden ke-100 di Kecamatan Rappocini, Senin. Program lorong garden yang digagas Wali Kota itu menyulap lorong sempit menjadi ruang hijau produktif. Danny mengimbau agar warga menjaga tanaman yang sudah ditanam. Peresmian dihadiri camat, lurah, dan tokoh masyarakat setempat.",9b8ca00d54462e39,Rappocini,fixture,"MAKASSAR — Wali Kota Makassar Danny Pomanto meresmikan lorong garden ke-100 di Kecamatan Rappocini, Senin. Program lorong garden yang digagas Wali Kota itu menyulap lorong sempit menjadi ruang hijau produktif.",infrastruktur,"['lorong', 'garden', 'rappocini', 'danny']",,MKS-KLS-F01,https://sulsel-kini.example/2016/02/15/walikota-resmikan-lorong-garden-ke-100-di-rappocini,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True,0.77
ART-F004,harian-losari.example,https://harian-losari.example/2020/01/20/pj-wali-kota-pastikan-penyaluran-bantuan-sesuai-data,Pj Wali Kota pastikan penyaluran bantuan sesuai data,2020-01-20,Pj Wali Kota Makassar memastikan penyaluran bantuan pangan Dinas Sosial berjalan sesuai data terpadu. Dinas Sosial menyalurkan bantuan kepada 1.200 keluarga di lima kecamatan. Penyaluran dilakukan petugas dinas bersama kelurahan. Pj Wali Kota meminta pengawasan berlapis agar bantuan tepat sasaran.,e9c148f2820a6f57,,fixture,Pj Wali Kota Makassar memastikan penyaluran bantuan pangan Dinas Sosial berjalan sesuai data terpadu. Dinas Sosial menyalurkan bantuan kepada 1.200 keluarga di lima kecamatan.,bantuan sosial,"['bantuan', 'penyaluran', 'dinas', 'sesuai']",,MKS-KLS-F02,https://harian-losari.example/2020/01/20/pj-wali-kota-pastikan-penyaluran-bantuan-sesuai-data,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True,1.0
ART-F005,suara-tamalanrea.example,https://suara-tamalanrea.example/2020/01/21/pj-walikota-pastikan-penyaluran-bantuan-sesuai-data,Pj Walikota pastikan penyaluran bantuan sesuai data,2020-01-21,Pj Walikota Makassar memastikan penyaluran bantuan pangan Dinas Sosial berjalan sesuai data terpadu. Dinas Sosial menyalurkan bantuan kepada 1.200 keluarga di lima kecamatan. Penyaluran dilakukan petugas dinas bersama kelurahan. Pj Wali Kota meminta pengawasan berlapis agar bantuan tepat sasaran.,3354956340d653f1,,fixture,Pj Walikota Makassar memastikan penyaluran bantuan pangan Dinas Sosial berjalan sesuai data terpadu. Dinas Sosial menyalurkan bantuan kepada 1.200 keluarga di lima kecamatan.,bantuan sosial,"['bantuan', 'penyaluran', 'dinas', 'sesuai']",,MKS-KLS-F02,https://suara-tamalanrea.example/2020/01/21/pj-walikota-pastikan-penyaluran-bantuan-sesuai-data,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True,0.87
ART-F006,sulsel-kini.example,https://sulsel-kini.example/2020/01/20/pj-walikota-pastikan-penyaluran-bantuan-sesuai-data,Pj Walikota pastikan penyaluran bantuan sesuai data,2020-01-20,MAKASSAR — Pj Wali Kota Makassar memastikan penyaluran bantuan pangan Dinas Sosial berjalan sesuai data terpadu. Dinas Sosial menyalurkan bantuan kepada 1.200 keluarga di lima kecamatan. Penyaluran dilakukan petugas dinas bersama kelurahan. Pj Wali Kota meminta pengawasan berlapis agar bantuan tepat sasaran.,5f088febb65351ea,,fixture,MAKASSAR — Pj Wali Kota Makassar memastikan penyaluran bantuan pangan Dinas Sosial berjalan sesuai data terpadu. Dinas Sosial menyalurkan bantuan kepada 1.200 keluarga di lima kecamatan.,bantuan sosial,"['bantuan', 'penyaluran', 'dinas', 'sesuai']",,MKS-KLS-F02,https://sulsel-kini.example/2020/01/20/pj-walikota-pastikan-penyaluran-bantuan-sesuai-data,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True,0.97
ART-F007,harian-losari.example,https://harian-losari.example/2020/08/24/bantuan-dari-bapak-wali-kota-tiba-di-tamalanrea,Bantuan dari Bapak Wali Kota tiba di Tamalanrea,2020-08-24,"Bantuan sembako dari Bapak Wali Kota tiba di Kecamatan Tamalanrea, Senin, dan langsung dibagikan kepada 500 keluarga. Wali Kota Danny Pomanto menyerahkan bantuan secara simbolis dan berpesan agar warga tetap menjaga protokol kesehatan. Warga menyampaikan terima kasih atas perhatian Wali Kota.",014b57493e56dfef,Tamalanrea,fixture,"Bantuan sembako dari Bapak Wali Kota tiba di Kecamatan Tamalanrea, Senin, dan langsung dibagikan kepada 500 keluarga. Wali Kota Danny Pomanto menyerahkan bantuan secara simbolis dan berpesan agar warga tetap menjaga protokol kesehatan.",bantuan sosial,"['bantuan', 'bapak', 'tiba', 'tamalanrea']",,MKS-KLS-F03,https://harian-losari.example/2020/08/24/bantuan-dari-bapak-wali-kota-tiba-di-tamalanrea,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True,1.0
ART-F008,suara-tamalanrea.example,https://suara-tamalanrea.example/2020/08/25/bantuan-dari-bapak-walikota-tiba-di-tamalanrea,Bantuan dari Bapak Walikota tiba di Tamalanrea,2020-08-25,"Bantuan sembako dari Bapak Wali Kota tiba di Kecamatan Tamalanrea, Senin (siang), dan langsung dibagikan kepada 500 keluarga. Wali Kota Danny Pomanto menyerahkan bantuan secara simbolis dan berpesan agar warga tetap menjaga protokol kesehatan. Warga menyampaikan terima kasih atas perhatian Wali Kota.",13c64e696ff1b0b4,Tamalanrea,fixture,"Bantuan sembako dari Bapak Wali Kota tiba di Kecamatan Tamalanrea, Senin (siang), dan langsung dibagikan kepada 500 keluarga.",bantuan sosial,"['bantuan', 'bapak', 'tiba', 'tamalanrea']",,MKS-KLS-F03,https://suara-tamalanrea.example/2020/08/25/bantuan-dari-bapak-walikota-tiba-di-tamalanrea,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True,0.79
ART-F009,sulsel-kini.example,https://sulsel-kini.example/2020/08/24/bantuan-dari-bapak-walikota-tiba-di-tamalanrea,Bantuan dari Bapak Walikota tiba di Tamalanrea,2020-08-24,"MAKASSAR — Bantuan sembako dari Bapak Wali Kota tiba di Kecamatan Tamalanrea, Senin, dan langsung dibagikan kepada 500 keluarga. Wali Kota Danny Pomanto menyerahkan bantuan secara simbolis dan mengimbau agar warga tetap menjaga protokol kesehatan. Warga menyampaikan terima kasih atas perhatian Wali Kota.",65453778744f2016,Tamalanrea,fixture,"MAKASSAR — Bantuan sembako dari Bapak Wali Kota tiba di Kecamatan Tamalanrea, Senin, dan langsung dibagikan kepada 500 keluarga.",bantuan sosial,"['bantuan', 'bapak', 'tiba', 'tamalanrea']",,MKS-KLS-F03,https://sulsel-kini.example/2020/08/24/bantuan-dari-bapak-walikota-tiba-di-tamalanrea,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True,0.74
ART-F010,harian-losari.example,https://harian-losari.example/2024/08/12/danny-serahkan-2-000-paket-bantuan-di-tallo,Danny serahkan 2.000 paket bantuan di Tallo,2024-08-12,"Wali Kota Makassar Danny Pomanto menyerahkan 2.000 paket bantuan sembako kepada warga Kecamatan Tallo, Senin. Bantuan dari Wali Kota itu merupakan bagian dari program peduli warga menjelang akhir masa jabatan. Danny mengatakan bantuan akan berlanjut ke kecamatan lain. Warga berterima kasih kepada Bapak Wali Kota.",a074df4e1460b468,Tallo,fixture,"Wali Kota Makassar Danny Pomanto menyerahkan 2.000 paket bantuan sembako kepada warga Kecamatan Tallo, Senin. Bantuan dari Wali Kota itu merupakan bagian dari program peduli warga menjelang akhir masa jabatan.",bantuan sosial,"['bantuan', 'danny', 'warga', 'paket']",,MKS-KLS-F04,https://harian-losari.example/2024/08/12/danny-serahkan-2-000-paket-bantuan-di-tallo,,2026-09-09,2026-09-09T00:00:00+07:00,2026-09-09T00:00:00+07:00,True,1.0
